Objects Number,Time (ms),System CPU Usage (%),Process CPU Usage (%),Free Memory (%),Used Memory (B)
1,502,0.00,0.00,28,8164
10,554,0.67,0.14,24,8168
50,743,0.67,0.11,28,8164
100,890,0.53,0.20,29,8163
500,1891,0.36,0.11,26,8166
1000,3070,0.42,0.09,361,7831
1500,4293,0.38,0.10,128,8064
2000,5411,0.36,0.09,144,8048
3000,7950,0.29,0.08,38,8154
4000,10725,0.24,0.07,172,8020
5000,13944,0.23,0.06,68,8124
6000,17667,0.23,0.07,16,8176
7000,21494,0.20,0.06,14,8178
8000,25815,0.25,0.08,16,8176
9000,30531,0.22,0.07,14,8178
10000,35473,0.20,0.06,16,8176
10100,36116,0.33,0.05,15,8177
