Objects Number,Time (ms),System CPU Usage (%),Process CPU Usage (%),Free Memory (%),Used Memory (B)
1,551,0.00,0.00,60,8132
10,653,0.93,0.15,23,8169
50,939,0.75,0.07,24,8168
100,1318,0.69,0.07,24,8168
500,2882,0.35,0.07,25,8167
1000,4496,0.33,0.06,22,8170
1500,6333,0.26,0.06,29,8163
2000,7825,0.30,0.07,30,8162
3000,11021,0.34,0.06,42,8150
4000,14292,0.29,0.06,76,8116
5000,17719,0.23,0.06,89,8103
6000,21430,0.27,0.06,18,8174
7000,31955,0.24,0.03,46,8146
8000,35863,0.23,0.07,18,8174
9000,39890,0.26,0.07,138,8054
10000,44352,0.39,0.08,22,8170
10100,44858,0.58,0.08,19,8173
