Objects Number,Time (ms),System CPU Usage (%),Process CPU Usage (%),Free Memory (%),Used Memory (B)
1,587,0.00,0.00,27,8165
10,631,0.50,0.11,25,8167
50,785,0.52,0.12,25,8167
100,953,0.42,0.19,27,8165
500,1894,0.43,0.12,31,8161
1000,2903,0.37,0.10,47,8145
1500,4064,0.49,0.11,36,8156
2000,5064,0.48,0.12,81,8111
3000,7022,0.37,0.10,13,8179
4000,9203,0.32,0.10,13,8179
5000,11673,0.31,0.08,18,8174
6000,14528,0.32,0.10,220,7972
7000,17712,0.27,0.08,15,8177
8000,21410,0.46,0.09,16,8176
9000,25296,0.33,0.08,255,7937
10000,29582,0.30,0.08,18,8174
10100,30037,0.26,0.07,18,8174
